person,employer,salary,begin,end
jwhite@domain.com,Acadia Healthcare Co. Inc. (ACHC),50000,2022-01-10,
aborden@domain.com,Academy Sports & Outdoors Inc. (ASO),40000,2022-01-10,
mgreen@domain.com,Academy Sports & Outdoors Inc. (ASO),60000,2022-01-10,
jmunsch@domain.com,Academy Sports & Outdoors Inc. (ASO),100000,2022-01-10,
raragon@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),50000,2022-01-10,
jrussell@domain.com,Academy Sports & Outdoors Inc. (ASO),40000,2022-01-10,
lvenson@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),60000,2022-01-10,
tconley@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),100000,2022-01-10,
cjackson@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),50000,2022-01-10,
sdavis@domain.com,Acadia Healthcare Co. Inc. (ACHC),40000,2022-01-10,
gwatson@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),60000,2022-01-10,
lgarrison@domain.com,Academy Sports & Outdoors Inc. (ASO),100000,2022-01-10,
jrenfro@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),50000,2022-01-10,
jheard@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),40000,2022-01-10,
dreyes@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),60000,2021-10-14,2022-10-18
mhall@domain.com,Academy Sports & Outdoors Inc. (ASO),100000,2021-10-14,2022-10-18
mmceachern@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),50000,2021-10-14,2022-10-18
cdiaz@domain.com,Acadia Healthcare Co. Inc. (ACHC),40000,2021-10-14,2022-10-18
tlowe@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),60000,2021-10-14,
loyola@domain.com,Academy Sports & Outdoors Inc. (ASO),100000,2021-10-14,
amorrison@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),50000,2020-06-19,2021-10-17
tsantos@domain.com,Academy Sports & Outdoors Inc. (ASO),40000,2020-06-19,2021-10-17
vfaulkner@domain.com,Academy Sports & Outdoors Inc. (ASO),60000,2020-06-19,2021-10-17
aiorio@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),100000,2020-06-19,2021-10-17
tkaminski@domain.com,Acadia Healthcare Co. Inc. (ACHC),50000,2020-06-19,2021-10-17
redwards@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),40000,2020-06-19,2021-10-17
speacock@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),60000,2020-06-19,
anelson@domain.com,Academy Sports & Outdoors Inc. (ASO),100000,2020-06-19,
mtownsend@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),50000,2020-06-19,
rzwick@domain.com,1-800-FLOWERS.COM Inc. Cl A (FLWS),40000,2020-06-19,
